,Topic,Date,Time,Amps,datetime
171088,meduk2/capstone/power1,4/27/2023,0:04:39,1.31,2023-04-27 00:04:39
171089,meduk2/capstone/power1,4/27/2023,0:04:40,1.19,2023-04-27 00:04:40
171090,meduk2/capstone/power1,4/27/2023,0:04:42,1.19,2023-04-27 00:04:42
171091,meduk2/capstone/power1,4/27/2023,0:04:43,1.14,2023-04-27 00:04:43
171092,meduk2/capstone/power1,4/27/2023,0:04:44,1.13,2023-04-27 00:04:44
171093,meduk2/capstone/power1,4/27/2023,0:04:45,1.25,2023-04-27 00:04:45
171094,meduk2/capstone/power1,4/27/2023,0:04:46,1.31,2023-04-27 00:04:46
171095,meduk2/capstone/power1,4/27/2023,0:04:47,1.22,2023-04-27 00:04:47
171096,meduk2/capstone/power1,4/27/2023,0:04:48,1.2,2023-04-27 00:04:48
171097,meduk2/capstone/power1,4/27/2023,0:04:49,1.16,2023-04-27 00:04:49
171098,meduk2/capstone/power1,4/27/2023,0:04:51,1.17,2023-04-27 00:04:51
171099,meduk2/capstone/power1,4/27/2023,0:04:52,1.13,2023-04-27 00:04:52
171100,meduk2/capstone/power1,4/27/2023,0:04:53,1.19,2023-04-27 00:04:53
171101,meduk2/capstone/power1,4/27/2023,0:04:54,1.17,2023-04-27 00:04:54
171102,meduk2/capstone/power1,4/27/2023,0:04:55,1.11,2023-04-27 00:04:55
171103,meduk2/capstone/power1,4/27/2023,0:04:56,1.09,2023-04-27 00:04:56
171104,meduk2/capstone/power1,4/27/2023,0:04:57,1.23,2023-04-27 00:04:57
171105,meduk2/capstone/power1,4/27/2023,0:04:58,1.24,2023-04-27 00:04:58
171106,meduk2/capstone/power1,4/27/2023,0:05:00,1.31,2023-04-27 00:05:00
171107,meduk2/capstone/power1,4/27/2023,0:05:01,1.13,2023-04-27 00:05:01
171108,meduk2/capstone/power1,4/27/2023,0:05:02,1.14,2023-04-27 00:05:02
171109,meduk2/capstone/power1,4/27/2023,0:05:03,1.23,2023-04-27 00:05:03
171110,meduk2/capstone/power1,4/27/2023,0:05:04,1.21,2023-04-27 00:05:04
171111,meduk2/capstone/power1,4/27/2023,0:05:05,1.14,2023-04-27 00:05:05
171112,meduk2/capstone/power1,4/27/2023,0:05:06,1.11,2023-04-27 00:05:06
171113,meduk2/capstone/power1,4/27/2023,0:05:08,1.2,2023-04-27 00:05:08
171114,meduk2/capstone/power1,4/27/2023,0:05:09,1.2,2023-04-27 00:05:09
171115,meduk2/capstone/power1,4/27/2023,0:05:10,1.19,2023-04-27 00:05:10
171116,meduk2/capstone/power1,4/27/2023,0:05:11,1.2,2023-04-27 00:05:11
171117,meduk2/capstone/power1,4/27/2023,0:05:12,1.08,2023-04-27 00:05:12
171118,meduk2/capstone/power1,4/27/2023,0:05:13,1.1,2023-04-27 00:05:13
171119,meduk2/capstone/power1,4/27/2023,0:05:14,1.14,2023-04-27 00:05:14
171120,meduk2/capstone/power1,4/27/2023,0:05:15,1.17,2023-04-27 00:05:15
171121,meduk2/capstone/power1,4/27/2023,0:05:17,1.11,2023-04-27 00:05:17
171122,meduk2/capstone/power1,4/27/2023,0:05:18,1.2,2023-04-27 00:05:18
171123,meduk2/capstone/power1,4/27/2023,0:05:19,1.17,2023-04-27 00:05:19
171124,meduk2/capstone/power1,4/27/2023,0:05:20,1.14,2023-04-27 00:05:20
171125,meduk2/capstone/power1,4/27/2023,0:05:21,1.16,2023-04-27 00:05:21
171126,meduk2/capstone/power1,4/27/2023,0:05:22,1.32,2023-04-27 00:05:22
171127,meduk2/capstone/power1,4/27/2023,0:05:23,1.11,2023-04-27 00:05:23
171128,meduk2/capstone/power1,4/27/2023,0:05:25,1.26,2023-04-27 00:05:25
171129,meduk2/capstone/power1,4/27/2023,0:05:26,1.1,2023-04-27 00:05:26
171130,meduk2/capstone/power1,4/27/2023,0:05:27,1.13,2023-04-27 00:05:27
171131,meduk2/capstone/power1,4/27/2023,0:05:28,1.15,2023-04-27 00:05:28
171132,meduk2/capstone/power1,4/27/2023,0:05:29,1.18,2023-04-27 00:05:29
171133,meduk2/capstone/power1,4/27/2023,0:05:30,1.14,2023-04-27 00:05:30
171134,meduk2/capstone/power1,4/27/2023,0:05:31,1.13,2023-04-27 00:05:31
171135,meduk2/capstone/power1,4/27/2023,0:05:32,1.14,2023-04-27 00:05:32
171136,meduk2/capstone/power1,4/27/2023,0:05:34,1.19,2023-04-27 00:05:34
171137,meduk2/capstone/power1,4/27/2023,0:05:35,1.17,2023-04-27 00:05:35
171138,meduk2/capstone/power1,4/27/2023,0:05:36,1.01,2023-04-27 00:05:36
171139,meduk2/capstone/power1,4/27/2023,0:05:37,1.24,2023-04-27 00:05:37
171140,meduk2/capstone/power1,4/27/2023,0:05:38,1.14,2023-04-27 00:05:38
171141,meduk2/capstone/power1,4/27/2023,0:05:39,1.27,2023-04-27 00:05:39
171142,meduk2/capstone/power1,4/27/2023,0:05:40,1.1,2023-04-27 00:05:40
171143,meduk2/capstone/power1,4/27/2023,0:05:41,1.16,2023-04-27 00:05:41
171144,meduk2/capstone/power1,4/27/2023,0:05:43,1.07,2023-04-27 00:05:43
171145,meduk2/capstone/power1,4/27/2023,0:05:44,1.14,2023-04-27 00:05:44
171146,meduk2/capstone/power1,4/27/2023,0:05:45,1.26,2023-04-27 00:05:45
171147,meduk2/capstone/power1,4/27/2023,0:05:46,1.1,2023-04-27 00:05:46
171148,meduk2/capstone/power1,4/27/2023,0:05:47,1.3,2023-04-27 00:05:47
171149,meduk2/capstone/power1,4/27/2023,0:05:48,1.11,2023-04-27 00:05:48
