,datetime
212500,2023-04-27 13:05:14
212501,2023-04-27 13:05:15
212502,2023-04-27 13:05:16
212503,2023-04-27 13:05:17
212504,2023-04-27 13:05:18
212505,2023-04-27 13:05:20
212506,2023-04-27 13:05:21
212507,2023-04-27 13:05:22
212508,2023-04-27 13:05:23
212509,2023-04-27 13:05:24
212510,2023-04-27 13:05:25
212511,2023-04-27 13:05:26
212512,2023-04-27 13:05:28
212513,2023-04-27 13:05:29
212514,2023-04-27 13:05:30
212515,2023-04-27 13:05:31
212516,2023-04-27 13:05:32
212517,2023-04-27 13:05:33
212518,2023-04-27 13:05:34
212519,2023-04-27 13:05:35
212520,2023-04-27 13:05:37
212521,2023-04-27 13:05:38
212522,2023-04-27 13:05:39
212523,2023-04-27 13:05:40
212524,2023-04-27 13:05:41
212525,2023-04-27 13:05:42
212526,2023-04-27 13:05:43
212527,2023-04-27 13:05:45
212528,2023-04-27 13:05:46
212529,2023-04-27 13:05:47
212530,2023-04-27 13:05:48
212531,2023-04-27 13:05:49
212532,2023-04-27 13:05:50
212533,2023-04-27 13:05:51
212534,2023-04-27 13:05:52
212535,2023-04-27 13:05:54
212536,2023-04-27 13:05:55
212537,2023-04-27 13:05:56
212538,2023-04-27 13:05:57
212539,2023-04-27 13:05:58
212540,2023-04-27 13:05:59
212541,2023-04-27 13:06:00
212542,2023-04-27 13:06:01
212543,2023-04-27 13:06:03
212544,2023-04-27 13:06:04
212545,2023-04-27 13:06:05
212546,2023-04-27 13:06:06
212547,2023-04-27 13:06:07
212548,2023-04-27 13:06:08
212549,2023-04-27 13:06:09
212550,2023-04-27 13:06:11
212551,2023-04-27 13:06:12
212552,2023-04-27 13:06:13
212553,2023-04-27 13:06:14
212554,2023-04-27 13:06:15
212555,2023-04-27 13:06:16
212556,2023-04-27 13:06:17
212557,2023-04-27 13:06:18
212558,2023-04-27 13:06:20
212559,2023-04-27 13:06:21
212560,2023-04-27 13:06:22
212561,2023-04-27 13:06:23
212562,2023-04-27 13:06:24
212563,2023-04-27 13:06:25
212564,2023-04-27 13:06:26
212565,2023-04-27 13:06:27
212566,2023-04-27 13:06:29
212567,2023-04-27 13:06:30
212568,2023-04-27 13:06:31
212569,2023-04-27 13:06:32
212570,2023-04-27 13:06:33
212571,2023-04-27 13:06:34
212572,2023-04-27 13:06:35
212573,2023-04-27 13:06:37
212574,2023-04-27 13:06:38
212575,2023-04-27 13:06:39
212576,2023-04-27 13:06:40
212577,2023-04-27 13:06:41
212578,2023-04-27 13:06:42
212579,2023-04-27 13:06:43
212580,2023-04-27 13:06:44
212581,2023-04-27 13:06:46
212582,2023-04-27 13:06:47
212583,2023-04-27 13:06:48
212584,2023-04-27 13:06:49
212585,2023-04-27 13:06:50
212586,2023-04-27 13:06:51
212587,2023-04-27 13:06:52
212588,2023-04-27 13:06:53
212589,2023-04-27 13:06:55
212590,2023-04-27 13:06:56
212591,2023-04-27 13:06:57
212592,2023-04-27 13:06:58
212593,2023-04-27 13:06:59
212594,2023-04-27 13:07:00
212595,2023-04-27 13:07:01
212596,2023-04-27 13:07:03
212597,2023-04-27 13:07:04
212598,2023-04-27 13:07:05
212599,2023-04-27 13:07:06
212600,2023-04-27 13:07:07
212601,2023-04-27 13:07:08
212602,2023-04-27 13:07:09
212603,2023-04-27 13:07:10
212604,2023-04-27 13:07:12
212605,2023-04-27 13:07:13
212606,2023-04-27 13:07:14
212607,2023-04-27 13:07:15
212608,2023-04-27 13:07:16
212609,2023-04-27 13:07:17
212610,2023-04-27 13:07:18
212611,2023-04-27 13:07:20
212612,2023-04-27 13:07:21
212613,2023-04-27 13:07:22
212614,2023-04-27 13:07:23
212615,2023-04-27 13:07:24
212616,2023-04-27 13:07:25
212617,2023-04-27 13:07:26
212618,2023-04-27 13:07:27
212619,2023-04-27 13:07:29
212620,2023-04-27 13:07:30
212621,2023-04-27 13:07:31
212622,2023-04-27 13:07:32
212623,2023-04-27 13:07:33
212624,2023-04-27 13:07:34
212625,2023-04-27 13:07:35
212626,2023-04-27 13:07:36
212627,2023-04-27 13:07:38
212628,2023-04-27 13:07:39
212629,2023-04-27 13:07:40
212630,2023-04-27 13:07:41
212631,2023-04-27 13:07:42
212632,2023-04-27 13:07:43
212633,2023-04-27 13:07:44
212634,2023-04-27 13:07:46
212635,2023-04-27 13:07:47
212636,2023-04-27 13:07:48
212637,2023-04-27 13:07:49
212638,2023-04-27 13:07:50
212639,2023-04-27 13:07:51
212640,2023-04-27 13:07:52
212641,2023-04-27 13:07:53
212642,2023-04-27 13:07:55
212643,2023-04-27 13:07:56
212644,2023-04-27 13:07:57
212645,2023-04-27 13:07:58
212646,2023-04-27 13:07:59
212647,2023-04-27 13:08:00
212648,2023-04-27 13:08:01
212649,2023-04-27 13:08:02
212650,2023-04-27 13:08:04
212651,2023-04-27 13:08:05
212652,2023-04-27 13:08:06
212653,2023-04-27 13:08:07
212654,2023-04-27 13:08:08
212655,2023-04-27 13:08:09
212656,2023-04-27 13:08:10
212657,2023-04-27 13:08:12
212658,2023-04-27 13:08:13
212659,2023-04-27 13:08:14
212660,2023-04-27 13:08:15
212661,2023-04-27 13:08:16
212662,2023-04-27 13:08:17
212663,2023-04-27 13:08:18
212664,2023-04-27 13:08:19
212665,2023-04-27 13:08:21
212666,2023-04-27 13:08:22
212667,2023-04-27 13:08:23
212668,2023-04-27 13:08:24
212669,2023-04-27 13:08:25
212670,2023-04-27 13:08:26
212671,2023-04-27 13:08:27
212672,2023-04-27 13:08:29
212673,2023-04-27 13:08:30
212674,2023-04-27 13:08:31
212675,2023-04-27 13:08:32
212676,2023-04-27 13:08:33
212677,2023-04-27 13:08:34
212678,2023-04-27 13:08:35
212679,2023-04-27 13:08:36
212680,2023-04-27 13:08:38
212681,2023-04-27 13:08:39
212682,2023-04-27 13:08:40
212683,2023-04-27 13:08:41
212684,2023-04-27 13:08:42
212685,2023-04-27 13:08:43
212686,2023-04-27 13:08:44
212687,2023-04-27 13:08:45
212688,2023-04-27 13:08:47
212689,2023-04-27 13:08:48
212690,2023-04-27 13:08:49
212691,2023-04-27 13:08:50
212692,2023-04-27 13:08:51
212693,2023-04-27 13:08:52
212694,2023-04-27 13:08:53
212695,2023-04-27 13:08:55
212696,2023-04-27 13:08:56
212697,2023-04-27 13:08:57
212698,2023-04-27 13:08:58
212699,2023-04-27 13:08:59
212700,2023-04-27 13:09:00
212701,2023-04-27 13:09:01
212702,2023-04-27 13:09:02
212703,2023-04-27 13:09:04
212704,2023-04-27 13:09:05
212705,2023-04-27 13:09:06
212706,2023-04-27 13:09:07
212707,2023-04-27 13:09:08
212708,2023-04-27 13:09:09
212709,2023-04-27 13:09:10
212710,2023-04-27 13:09:11
212711,2023-04-27 13:09:13
212712,2023-04-27 13:09:14
212713,2023-04-27 13:09:15
212714,2023-04-27 13:09:16
212715,2023-04-27 13:09:17
212716,2023-04-27 13:09:18
212717,2023-04-27 13:09:19
212718,2023-04-27 13:09:21
212719,2023-04-27 13:09:22
212720,2023-04-27 13:09:23
212721,2023-04-27 13:09:24
212722,2023-04-27 13:09:25
212723,2023-04-27 13:09:26
212724,2023-04-27 13:09:27
212725,2023-04-27 13:09:28
212726,2023-04-27 13:09:30
212727,2023-04-27 13:09:31
212728,2023-04-27 13:09:32
212729,2023-04-27 13:09:33
212730,2023-04-27 13:09:34
212731,2023-04-27 13:09:35
212732,2023-04-27 13:09:36
212733,2023-04-27 13:09:37
212734,2023-04-27 13:09:39
212735,2023-04-27 13:09:40
212736,2023-04-27 13:09:41
212737,2023-04-27 13:09:42
212738,2023-04-27 13:09:43
212739,2023-04-27 13:09:44
212740,2023-04-27 13:09:45
212741,2023-04-27 13:09:47
212742,2023-04-27 13:09:48
212743,2023-04-27 13:09:49
212744,2023-04-27 13:09:50
212745,2023-04-27 13:09:51
212746,2023-04-27 13:09:52
212747,2023-04-27 13:09:53
212748,2023-04-27 13:09:54
212749,2023-04-27 13:09:56
212750,2023-04-27 13:09:57
212751,2023-04-27 13:09:58
212752,2023-04-27 13:09:59
212753,2023-04-27 13:10:00
212754,2023-04-27 13:10:01
212755,2023-04-27 13:10:02
212756,2023-04-27 13:10:04
212757,2023-04-27 13:10:05
212758,2023-04-27 13:10:06
212759,2023-04-27 13:10:07
212760,2023-04-27 13:10:08
212761,2023-04-27 13:10:09
212762,2023-04-27 13:10:10
212763,2023-04-27 13:10:11
212764,2023-04-27 13:10:13
212765,2023-04-27 13:10:14
212766,2023-04-27 13:10:15
212767,2023-04-27 13:10:16
212768,2023-04-27 13:10:17
212769,2023-04-27 13:10:18
212770,2023-04-27 13:10:19
212771,2023-04-27 13:10:20
212772,2023-04-27 13:10:22
212773,2023-04-27 13:10:23
212774,2023-04-27 13:10:24
212775,2023-04-27 13:10:25
212776,2023-04-27 13:10:26
212777,2023-04-27 13:10:27
212778,2023-04-27 13:10:28
212779,2023-04-27 13:10:30
212780,2023-04-27 13:10:31
212781,2023-04-27 13:10:32
212782,2023-04-27 13:10:33
212783,2023-04-27 13:10:34
212784,2023-04-27 13:10:35
212785,2023-04-27 13:10:36
212786,2023-04-27 13:10:37
212787,2023-04-27 13:10:39
212788,2023-04-27 13:10:40
212789,2023-04-27 13:10:41
212790,2023-04-27 13:10:42
212791,2023-04-27 13:10:43
212792,2023-04-27 13:10:44
212793,2023-04-27 13:10:45
212794,2023-04-27 13:10:46
212795,2023-04-27 13:10:48
212796,2023-04-27 13:10:49
212797,2023-04-27 13:10:50
212798,2023-04-27 13:10:51
212799,2023-04-27 13:10:52
212800,2023-04-27 13:10:53
212801,2023-04-27 13:10:54
212802,2023-04-27 13:10:56
212803,2023-04-27 13:10:57
212804,2023-04-27 13:10:58
212805,2023-04-27 13:10:59
212806,2023-04-27 13:11:00
212807,2023-04-27 13:11:01
212808,2023-04-27 13:11:02
212809,2023-04-27 13:11:03
212810,2023-04-27 13:11:05
212811,2023-04-27 13:11:06
212812,2023-04-27 13:11:07
212813,2023-04-27 13:11:08
212814,2023-04-27 13:11:09
212815,2023-04-27 13:11:10
212816,2023-04-27 13:11:11
212817,2023-04-27 13:11:12
212818,2023-04-27 13:11:14
212819,2023-04-27 13:11:15
212820,2023-04-27 13:11:16
212821,2023-04-27 13:11:17
212822,2023-04-27 13:11:18
212823,2023-04-27 13:11:19
212824,2023-04-27 13:11:20
212825,2023-04-27 13:11:22
212826,2023-04-27 13:11:23
212827,2023-04-27 13:11:24
212828,2023-04-27 13:11:25
212829,2023-04-27 13:11:26
212830,2023-04-27 13:11:27
212831,2023-04-27 13:11:28
212832,2023-04-27 13:11:29
212833,2023-04-27 13:11:31
212834,2023-04-27 13:11:32
212835,2023-04-27 13:11:33
212836,2023-04-27 13:11:34
212837,2023-04-27 13:11:35
212838,2023-04-27 13:11:36
